id,Total Marks,Physics,vectors,newtons laws of motion,kinemetics,Chemistry,basic concepts of chem,redox reactions,gaseous theory,Maths,trignometry,logrithms,integral calculus,,,,,,,,,
3.44565777958161E+018,135,60,18,18,25,25,17,17,80,36,36,17,17,27,27,-5,8,8,-8,-8,-5,-5
1.85613546135695E+018,196,70,22,22,28,28,20,20,30,4,4,22,22,4,4,96,26,26,31,31,39,39
5.32007636422273E+018,235,58,28,28,6,6,24,24,78,29,29,36,36,13,13,99,35,35,30,30,34,34
2.73984780300428E+018,166,38,5,5,29,29,4,4,70,7,7,32,32,31,31,58,22,22,-4,-4,40,40
3.78593100535567E+018,109,42,29,29,11,11,2,2,33,27,27,5,5,1,1,34,4,4,16,16,14,14
8.94583667433457E+018,95,37,-5,-5,30,30,12,12,46,38,38,-4,-4,12,12,12,14,14,4,4,-6,-6
9.82515046889462E+017,209,83,39,39,5,5,39,39,66,21,21,18,18,27,27,60,2,2,37,37,21,21
6.46817289161503E+018,144,22,16,16,-3,-3,9,9,52,27,27,18,18,7,7,70,25,25,21,21,24,24
8.80874704462074E+017,170,55,35,35,2,2,18,18,84,36,36,33,33,15,15,31,-2,-2,17,17,16,16
6.94053412537051E+018,189,67,39,39,25,25,3,3,57,-5,-5,24,24,38,38,65,32,32,15,15,18,18
6.31322827520808E+018,178,41,-5,-5,19,19,27,27,43,-10,-10,31,31,22,22,94,37,37,36,36,21,21
7.91934167028065E+017,166,50,30,30,17,17,3,3,65,28,28,35,35,2,2,51,-6,-6,34,34,23,23
6.25800077222658E+017,141,44,12,12,15,15,17,17,35,-4,-4,21,21,18,18,62,24,24,8,8,30,30
1.3276698305614E+018,103,49,-3,-3,12,12,40,40,39,27,27,10,10,2,2,15,6,6,5,5,4,4
7.72751454836517E+018,190,71,24,24,39,39,8,8,53,-2,-2,29,29,26,26,66,25,25,34,34,7,7
4.6466301610096E+017,68,12,15,15,-6,-6,3,3,44,4,4,35,35,5,5,12,10,10,2,2,0,0
2.97735947291944E+018,148,41,14,14,5,5,22,22,64,12,12,12,12,40,40,43,36,36,-1,-1,8,8
1.76780580657419E+018,191,54,34,34,27,27,-7,-7,48,27,27,3,3,18,18,89,40,40,36,36,13,13
1.77263537122869E+018,125,7,3,3,2,2,2,2,47,24,24,25,25,-2,-2,71,33,33,15,15,23,23
2.89513737277556E+017,142,31,-9,-9,19,19,21,21,73,14,14,40,40,19,19,38,25,25,12,12,1,1
2.06064788434955E+018,111,56,6,6,15,15,35,35,19,-2,-2,19,19,2,2,36,27,27,13,13,-4,-4
5.73042378737364E+018,178,42,38,38,10,10,-6,-6,58,35,35,-7,-7,30,30,78,40,40,-2,-2,40,40
7.70703810065215E+018,139,29,-10,-10,33,33,6,6,89,39,39,20,20,30,30,21,-4,-4,7,7,18,18
2.60342613710688E+018,71,39,14,14,4,4,21,21,-18,-2,-2,-8,-8,-8,-8,50,3,3,13,13,34,34
